გამოსხივება	გამო სხივ ება
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თოვლ ს
საბურავი	სა ბურავ ი
ირჩევს	ირჩევ ს
კუკის	კ უკის
მცდელობებს	მ ცდელობ ებს
ჯამბაზები	ჯა მბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინებ ელია
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	ა რტეფაქტ ები
კორუფციულ	კორუფც ი ულ
ჭრიან	ჭრ იან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზ მში
ლოუ	ლოუ
პარმა	პარმ ა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	და უშვ ებელია
ეწეოდნენ	ეწეო დნენ
ანათებდა	ანათ ებდა
დაუღალავი	და უღალავ ი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლევირა ტი
აბულ	ა ბ ულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ცის კრ ის
გაანადგურებს	გა ანადგურ ებს
დამუშავებისას	და მუშავ ებისას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ესტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალ იის
მუჰამადის	მუჰა მ ადის
პერსონაჟთა	პერსონაჟ თა
მტრის	მტრ ის
შთამომავლების	შთამომა ვლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	დაე კავ ებინათ
ფეტვი	ფე ტვ ი
სპაიკ	სპა იკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მ უნი ოსი
ორგანიზმის	ორგან იზმის
მშობლიურ	მშობლ იურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომა კვდავ მა
საქმიანობასთან	საქმია ნობ ასთან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავდაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლ ეში
ლოტოსი	ლოტოს ი
მანიაკალური	მან იაკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	იმო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბ ის
მძვინვარე	მ ძვინვარ ე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩხელ ა
მონასტრის	მო ნასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	ა რეულობ ის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობელოებ ი
შვეიცარიის	შვეიცარი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	არე ს
ჩაისა	ჩა ისა
დღესასწაულებს	დღესა სწაულ ებს
იდეოლოგია	იდე ოლოგია
წმიდანს	წმიდან ს
