გამოსხივება	გამო სხივ ებ ა
ოსები	ოს ები
მაგისტრი	მა გისტრ ი
თოვლს	თოვლ ს
საბურავი	ს აბურავ ი
ირჩევს	ი რჩევ ს
კუკის	კუკ ის
მცდელობებს	მ ცდელობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურ თო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გა სა თვალისწინ ებელი ა
გინახავს	გი ნახავ ს
კარსტულ	კარსტ ულ
არტეფაქტები	არტე ფაქტ ები
კორუფციულ	კორ უფცი ულ
ჭრიან	ჭრი ან
პენსიაში	პენს იაში
ორგანიზმში	ორგანიზ მ შ ი
ლოუ	ლო უ
პარმა	პარ მა
ქოხში	ქოხ ში
ციმბირი	ციმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	დაუ შვებ ელ ია
ეწეოდნენ	ეწეო დნენ
ანათებდა	ა ნათ ებდა
დაუღალავი	და უღალ ავი
მთელ	მთელ
მყოფი	მყოფ ი
ლევირატი	ლევი რატი
აბულ	ა ბულ
დამარცხებით	და მარცხ ებით
გლეხმა	გლეხ მა
თაღიანი	თაღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადა ი ქცევა
იაპონელი	იაპონ ელი
პოზიცია	პოზიც ი ა
უმატებს	უმატ ებს
წარმატებაც	წარმატებ აც
ცისკრის	ცის კრის
გაანადგურებს	გაანა დგურებ ს
დამუშავებისას	და მუშავ ების ას
სასცენო	სა სცენ ო
სილვესტერ	სილვ ეს ტერ
გომინდანის	გო მინდ ანის
ვესტფალიის	ვესტ ფალი ის
მუჰამადის	მუჰა მა დის
პერსონაჟთა	პერსონა ჟ თა
მტრის	მტრ ის
შთამომავლების	შთა მო მავლ ების
პოზიციური	პოზიც იური
სექსუალობის	სექსუა ლობის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	და ეკავ ებინათ
ფეტვი	ფეტვ ი
სპაიკ	ს პაიკ
ნიშებში	ნიშ ებში
გაბნეულ	გა ბნეულ
მუნიოსი	მ უნი ოს ი
ორგანიზმის	ორგანიზ მის
მშობლიურ	მშობლ ი ურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მო მა კვდავ მა
საქმიანობასთან	საქმია ნობა სთან
საწყისი	სა წყ ის ი
ათვისების	ა თვის ების
თავდაცვითი	თავდაც ვით ი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	ს ი მართლე ში
ლოტოსი	ლოტოს ი
მანიაკალური	მანი აკ ალური
სათავსს	სა თავს ს
იმოგზაურეს	ი მო გზაურ ეს
აღსასრული	აღსა სრულ ი
კოლუმბის	კოლუმბი ს
მძვინვარე	მძვინვარე
წინდებს	წინდ ებს
გადმოიღეს	გადმო იღეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბრ ები
მიიღო	მიიღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მო ნასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არეულ ობის
მოგზაურებს	მო გზაურ ებს
პოლის	პოლი ს
ჩანჩქერია	ჩა ნჩქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ასეთ ები
სამფლობელოები	სა მფლობე ლო ები
შვეიცარიის	შვეიცა რი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მ ი ტოვ ების
გაუკეთოს	გა უკეთ ოს
არეს	არე ს
ჩაისა	ჩაი სა
დღესასწაულებს	დღე სა სწაულ ებს
იდეოლოგია	იდე ოლოგი ა
