აღებაც	აღებ აც
ბგერები	ბგერ ები
ფინეთმა	ფინეთ მა
დახვეწა	დახვეწ ა
ვილემ	ვილ ემ
მალაკის	მა ლაკ ის
ასაზრდოებს	ა საზრდო ებს
ბოლის	ბოლ ის
შუაღამისას	შუაღამ ისას
ჯვარის	ჯვარ ის
მეომრებმა	მეომრ ებმა
დაფაზე	და ფაზ ე
რელიგიური	რელიგი ური
მოკვდავი	მო კვდავ ი
ნაგაზის	ნაგაზ ის
საკურთხეველზე	სა კურთხეველ ზე
ჯილდოების	ჯილდოებ ის
ფიჭური	ფი ჭ ური
ნიგერიის	ნიგერი ის
შებრუნდა	შე ბრუნდ ა
რსფსრ	რ სფსრ
საბალეტო	სა ბალეტ ო
სიგანეში	სიგანე ში
პეკინში	პეკინ ში
უბედურების	უბედურ ების
მინარეთი	მი ნარეთ ი
გამოიყენებდა	გამო იყენებ და
ბენედიქტე	ბენედიქტ ე
გადაიყვანეს	გა და იყვან ეს
გეოლოგიურ	გეოლოგი ურ
კინემატოგრაფიულ	კინემატოგრაფ იულ
მონადირეები	მო ნადირე ები
სთავაზობდა	სთავაზ ობდა
ასპექტში	ასპექტ ში
ლანჩხუთის	ლანჩხუთ ის
სკოლამ	სკოლ ამ
მასწავლებლის	მა სწავლებლ ის
ომისშემდგომი	ომისშემდგომ ი
პატიმრებს	პატიმრებ ს
გათხარა	გა თხარ ა
დათა	და თა
რენოს	რენ ოს
გააგრძელეს	გააგრძელ ეს
დარჩენილა	დარჩენილ ა
კარლუშ	კარ ლუშ
უმანკო	უ მან კო
იმისგან	იმ ისგან
ითვისებენ	ითვის ებენ
მასპინძელს	მა სპინძელ ს
დავალება	და ვალებ ა
ცათამბჯენის	ცათამბჯენ ის
გადაადგილდებოდნენ	გა დაადგილდ ებოდნენ
დამატებულია	და მატებ ულია
უმთავრესად	უმთავრეს ად
სკუდეტო	სკუდეტ ო
დიდებული	დიდებულ ი
ბელგრადში	ბელგრად ში
მიაღწიონ	მი აღწი ონ
მცველებს	მცველ ებს
ლაშქრობით	ლაშქრობ ით
რაიონებს	რაიონ ებს
სამხედროების	სა მხედროებ ის
გამოწვეულია	გამო წვეულ ი ა
ტურნეებს	ტურნე ებს
ოსმალებმა	ოსმალ ებმა
გარეშეა	გარეშე ა
იერარქიული	იერარქი ული
კუნთები	კუნთ ები
მადნეული	მადნეულ ი
ლეგენდებში	ლეგენდ ებში
ციტოპლაზმაში	ციტო პლაზმ აში
ვიშნუს	ვიშ ნუს
ჰერბიციდები	ჰერბიციდ ები
სამხედროები	სა მხედროებ ი
ინტერიერი	ინტერიერ ი
ჰიმალაის	ჰიმალა ის
გაშენებულ	გა შენებულ
ოპონენტების	ოპონენტ ების
ქრომის	ქრომ ის
გებრიელ	გებრიელ
შედეგები	შედეგ ები
სამეგრელოსა	სა მე გრელო სა
მონად	მონ ად
ქარიშხლისა	ქარიშხლ ისა
ქვეყნებში	ქვეყნებ ში
ფურცლებს	ფურცლ ებს
ალგორითმი	ალგორითმ ი
მთავარია	მთავარ ია
წიაღისეულის	წიაღისეულ ის
ბაგრატიონი	ბაგრატიონ ი
სმოლენსკში	სმოლენსკ ში
სიტყვით	სიტყვ ით
სულისაგან	სულ ისაგან
ფუტუნას	ფუტ უნას
ცეცხლოვან	ცეცხლ ოვან
წუთს	წუთ ს
დასაწყისისთვის	და საწყის ისთვის
კომპანიამ	კომპანი ამ
ფაშიზმის	ფაშ იზმის
სტრაბონის	სტრაბონ ის
შემოსავლები	შემოსავლ ები
ინფორმაციულ	ინფორმაცი ულ
დაძლევა	და ძლევ ა
შეტყობინებათა	შე ტყობინებ ათა
აწყდება	ა წყდ ება
პოპულარობისა	პოპულარობ ისა
სტუდიას	სტუდი ას
ძველმა	ძველ მა
გემის	გემ ის
ღამურების	ღამურ ების
ფეხბურთელის	ფეხბურთელ ის
ჩამოროს	ჩამორო ს
ოტავის	ოტავ ის
ავად	ავ ად
გარდაცვალებით	გა რდაცვალებ ით
მხატვრობის	მხატვრობ ის
იოკო	იო კო
კალიმანტანის	კალიმანტან ის
კოსმოგონიური	კოს მოგონიური
პოპულაციის	პოპულაცი ი ს
ინაუგურაცია	ინაუგურაც ია
გამოასწორა	გამო ასწორ ა
მხარდაჭერას	მ ხარდაჭერ ას
ფილიპსმა	ფილიპს მა
წევრებისთვის	წევრებ ის თვის
ეძლეოდათ	ეძლეოდ ათ
ეპილეფსიის	ეპილეფსი ის
სანაპიროსა	სა ნაპირო სა
ურთულეს	ურთულ ეს
დეკარტეს	დ ე კარტ ეს
ერთეულს	ერთეულ ს
ცვალებადობას	ცვალებადობ ას
მალდერი	მალდერ ი
სკულპტურებს	სკულპტურ ებს
დებატები	დებატ ები
პოლიტიკოსების	პოლიტიკოს ების
გვევლინებიან	გვევლინ ებიან
კვანძების	კვანძ ების
ოთხსართულიანი	ოთხ სართულ იანი
ხარკოვში	ხარკოვ ში
ანსოატეგის	ანსოატეგ ის
ბრალია	ბრალ ია
ცენზორის	ცენზორ ის
ჩინებულად	ჩინებულ ად
შეღრმავებაში	შე ღრმავებ აში
ფრაგმენტული	ფრაგმენტ ული
ალიოშა	ალიოშ ა
მესაქონლეობით	მე სა ქონლეობ ით
მუზეუმი	მუზეუმ ი
პირობებით	პირობებ ით
სიგელი	სიგელ ი
ლიტრ	ლიტრ
ქსელით	ქსელ ით
ბერმა	ბერ მა
გაყიდვები	გა ყიდვ ები
ითვალისწინებდნენ	ითვალისწინ ებდნენ
ცხოველების	ცხოველ ების
თანხები	თანხ ები
ჯემს	ჯემ ს
გვხდება	გვ ხდ ება
ოსტროვსკის	ოსტროვსკ ის
ფიგურირებდა	ფიგურირებ და
საკრუიზო	სა კრუ იზო
შარიაჟული	შარიაჟულ ი
მიტჩელი	მი ტჩელ ი
მეფეების	მეფე ების
რომ	რომ
მალავიში	მალავ ი ში
ბირჟაზე	ბირჟ აზე
ფერმერებს	ფერმერ ებს
არქიტექტურული	არქიტექტურ ული
დათრგუნვა	და თრგუნ ვა
მიეძღვნა	მი ეძღვნ ა
პოულობდა	პოულობ და
ცდა	ც და
სულთნის	სულთნ ის
მიაძაკის	მიაძაკ ის
შევჩენკომ	შე ვჩენკო მ
გაუძლებდა	გა უძლ ებდა
თესლოვანი	თესლ ოვანი
კონტინგენტი	კონტ ინგენტ ი
ნიკა	ნიკ ა
დებულებას	დებულებ ას
გართულებით	გა რთულებ ით
ბეროუზი	ბეროუზ ი
მოჩვენებებს	მო ჩვენებ ებს
საჭიროებენ	საჭიროებ ენ
ივლისს	ივლის ს
თანამედროვეთა	თანამედროვე თა
