გამოსხივება	გამოსხივ ებ ა
ოსები	ოს ები
მაგისტრი	მაგისტრ ი
თოვლს	თო ვლ ს
საბურავი	საბურ ავ ი
ირჩევს	ირჩევ ს
კუკის	კუ კ ის
მცდელობებს	მცდელ ობ ებს
ჯამბაზები	ჯამ ბაზ ები
საჩოგბურთო	სა ჩოგბურთ ო
გამოცდებში	გამო ცდ ებში
გასათვალისწინებელია	გასა თვალისწინებ ელია
გინახავს	გი ნახავ ს
კარსტულ	კარ სტ ულ
არტეფაქტები	არტე ფაქტ ები
კორუფციულ	კორუ ფც იულ
ჭრიან	ჭრ იან
პენსიაში	პენ სია ში
ორგანიზმში	ორგანიზმ ში
ლოუ	ლო უ
პარმა	პარ მ ა
ქოხში	ქ ოხ ში
ციმბირი	ც იმბირ ი
ღმერთ	ღმერთ
დაუშვებელია	და უშვ ებელია
ეწეოდნენ	ეწ ეოდ ნენ
ანათებდა	ა ნათებ და
დაუღალავი	დაუღ ალავ ი
მთელ	მთ ელ
მყოფი	მყოფ ი
ლევირატი	ლე ვირატი
აბულ	ა ბულ
დამარცხებით	და მარცხებ ით
გლეხმა	გლეხ მა
თაღიანი	თა ღ იანი
ოცნებამ	ოცნებ ამ
გადაიქცევა	გადაი ქცევ ა
იაპონელი	იაპონ ელ ი
პოზიცია	პოზიცი ა
უმატებს	უ მატებ ს
წარმატებაც	წარ მატებ აც
ცისკრის	ცი სკ რის
გაანადგურებს	გაა ნადგურ ებს
დამუშავებისას	და მუშავებ ისას
სასცენო	სა სცენ ო
სილვესტერ	სილვე სტერ
გომინდანის	გო მინდან ის
ვესტფალიის	ვესტფალ ი ის
მუჰამადის	მუჰამ ად ის
პერსონაჟთა	პერსონა ჟ თა
მტრის	მ ტრ ის
შთამომავლების	შთამო მავლ ების
პოზიციური	პოზიცი ური
სექსუალობის	სექსუალ ობ ის
გამოჩნდებოდა	გამო ჩნდ ებოდა
დაეკავებინათ	დაე კავებ ინათ
ფეტვი	ფეტ ვ ი
სპაიკ	სპა იკ
ნიშებში	ნი შ ებში
გაბნეულ	გაბნე ულ
მუნიოსი	მუნ იოს ი
ორგანიზმის	ორგანიზმ ის
მშობლიურ	მშობ ლი ურ
გავშალოთ	გავ შალ ოთ
მომაკვდავმა	მომა კვდავ მა
საქმიანობასთან	საქმ იანობ ასთან
საწყისი	სა წყის ი
ათვისების	ა თვისებ ის
თავდაცვითი	თავ დაცვ ითი
გმირი	გმირ ი
მონაწილის	მო ნაწილ ის
სიმართლეში	სი მართლე ში
ლოტოსი	ლოტ ოს ი
მანიაკალური	მან იაკ ალური
სათავსს	ს ათავს ს
იმოგზაურეს	ი მოგზაურ ეს
აღსასრული	აღ სასრულ ი
კოლუმბის	კოლუმ ბი ს
მძვინვარე	მძვინ ვარ ე
წინდებს	წინ დ ებს
გადმოიღეს	გა დმოიღ ეს
დაპყრობისა	და პყრობ ისა
ძაბრები	ძაბ რ ები
მიიღო	მი იღ ო
ჩურჩხელა	ჩურჩ ხელ ა
მონასტრის	მონასტრ ის
რიცხვებამდე	რიცხვ ებამდე
არეულობის	არე ულობ ის
მოგზაურებს	მოგზაურ ებს
პოლის	პოლ ის
ჩანჩქერია	ჩანჩ ქერ ია
მაძიებელი	მა ძიებ ელი
ასეთები	ას ეთ ები
სამფლობელოები	სამფლობ ელო ები
შვეიცარიის	შვეიც არი ის
მოასწრეს	მო ასწრ ეს
მიტოვების	მი ტოვებ ის
გაუკეთოს	გა უკეთ ოს
არეს	არ ეს
ჩაისა	ჩა ისა
დღესასწაულებს	დღე სასწაულ ებს
