იტალიასთან	იტა ლი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრ ო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევდ ოკ ია
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რ ობ ერ
შემოდიოდა	შემო დიო და
მთავარსარდლობის	მთავარ სარდლ ობის
ასტრონომია	ასტრონ ომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგა რეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პ იტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თა ფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დისკ რეტ ული
კლონი	კ ლონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტ იფიცირ ება
შემოსევების	შემოსე ვ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შან იძე
ეტლს	ეტ ლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხ რან ის
ქართველოლოგიის	ქართვ ელ ოლოგიის
წნეხის	წნე ხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ე კითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კედ ელ ში
დარგი	დარ გ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მოს ინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარე შე ა
თანადროულია	თანა დრო ულია
წლამდე	წლ ამდე
პროტესტანტიზმის	პროტეს ტანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სახ ე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირისპირ ებ ის
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარ ჩ ოხის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	აინ შტაინ ის
საღამოები	საღ ამო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადაურ ჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერიქს ონი ს
ჩერნიგოვის	ჩერ ნი გოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამოვს ებულ ია
ფერდობების	ფერდ ობ ების
გასაკვირი	გასა კვირ ი
დისკში	დის კ ში
პარალელურად	პარალელ ურ ად
კარლაილს	კარ ლ აილს
ჰენი	ჰ ენ ი
შეფერილობით	შეფერ ილ ობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არქ ტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყვ ელ ამ
წინააღმდეგობრივი	წინააღმდეგ ობ რივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ე ები
დაემთხვა	დაემთ ხვ ა
წარმოშობილი	წარმო შობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომ იურ
დაიღუპა	დაი ღუპ ა
არიანე	ა რიან ე
მორისი	მო რის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომ ნელ ებელი
კულმინაციას	კულმინა ც იას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურე ს
გაერთიანებაში	გა ერთიან ებაში
დაცვითი	და ცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯანელი ძ ის
ბუნებას	ბუნ ებ ას
ხეები	ხე ები
ნეოლითის	ნე ოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	საყვარ ელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შეყვარ ებულ ის
წყალმარჩხ	წყალმარ ჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარე თ ა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	აც ილ ებული
აისახება	ა ისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტ ურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწა თმფლობელ ობა
მომხიბლავი	მომხიბ ლავ ი
დამფუძნებელია	დამფუძნ ებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭან ტურ ია
კეჩუას	კეჩუ ა ს
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნ იკ აზე
ამაზრზენი	ამ აზრ ზენი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთ ხე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექტ იულ ია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რი ტორ იკა
სამწერლო	სა მწერ ლო
აქტიურები	ა ქტიურ ები
წოდებაც	წოდ ებ აც
თავდაცვისა	თავდა ცვ ისა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლი ნიუს
ჯოზეფი	ჯ ოზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰ იურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბენ დ ი
ვარიანტი	ვარი ანტ ი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიან ოსა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქ ე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მიახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომისარი ატ ის
პიტერმა	პიტერ მა
მონიტორები	მონი ტორ ები
ინვესტორი	ინვეს ტორ ი
შეშლა	შე შ ლა
გრადაშჩევიჩის	გრადაშჩე ვიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლ იზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	დაა რღვ იეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტი ვირ ება
ჩათვლა	ჩა თვლ ა
ფისი	ფის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვ ილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკფურ ტ ში
მფარველობას	მფარველ ობ ას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვესკ ნელ ის
რუხია	რუხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცის კან ელთა
რეიტინგული	რეიტინ გ ული
ბელა	ბ ელ ა
გელათში	გელა თ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულგარ ეთ ი
მოჰკიდა	მოჰ კ იდა
სპარტელთა	ს პარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პან კ რეასის
მკერდის	მკერდ ის
პლანქტონური	პლანქ ტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მომხ დარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბა ვ ში
დედინაცვალი	დედ ინაცვალი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სიღრ მ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
