იტალიასთან	ი ტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სამთავრ ო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიო და
მთავარსარდლობის	მთავარსა რდლ ობის
ასტრონომია	ასტრონ ომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სიგა რეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პი ტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თა ფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დისკ რეტ ული
კლონი	კ ლონ ი
მუსლიმური	მუსლიმ ური
იდენტიფიცირება	იდენტ იფიცირ ება
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ აშვილ ი
შანიძე	შან იძ ე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხ რანის
ქართველოლოგიის	ქართველ ოლოგი ის
წნეხის	წნე ხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერ სი აც
სცა	ს ც ა
კედელში	კედ ელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მოს ინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანადრო ულ ია
წლამდე	წ ლ ამდე
პროტესტანტიზმის	პროტესტ ანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სახე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირ ების
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარჩო ხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	აინ შტაინ ის
საღამოები	საღ ამო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადაურ ჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერი ქსონ ის
ჩერნიგოვის	ჩერნი გ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარებ დნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამოვს ებულ ია
ფერდობების	ფერდ ობ ების
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარალელ ურ ად
კარლაილს	კარ ლ აილს
ჰენი	ჰე ნ ი
შეფერილობით	შეფერ ილ ობით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰა ერ თან
ვაჭრობდა	ვაჭრ ობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყვ ელ ამ
წინააღმდეგობრივი	წინააღმდეგ ობ რივი
ქარგა	ქარ გა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობილ ი
უბნის	უ ბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსონომი ურ
დაიღუპა	დაი ღუპ ა
არიანე	არ იან ე
მორისი	მორ ის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომნელ ებელ ი
კულმინაციას	კულმინ აცია ს
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდ ებად
ყურეს	ყურ ეს
გაერთიანებაში	გა ერთიან ებაში
დაცვითი	დაცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯანელი ძ ის
ბუნებას	ბუნ ებ ას
ხეები	ხე ებ ი
ნეოლითის	ნეო ლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	საყვარ ელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შეყვარ ებულ ის
წყალმარჩხ	წყალმარჩ ხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარ ეთ ა
ხუროთმოძღვრება	ხუროთ მოძღვრ ება
აცილებული	ა ცილ ებული
აისახება	ა ისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომხიბ ლავ ი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შეზღუდ ვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭან ტურ ია
კეჩუას	კეჩუ ა ს
სოლისტი	ს ოლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრ ზენი
ფეხებში	ფე ხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინ ზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექტ იულ ია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რიტორ იკ ა
სამწერლო	სა მწერ ლო
აქტიურები	აქტიურ ები
წოდებაც	წო დებ აც
თავდაცვისა	თავ დაცვ ისა
ატლანტისი	ატლანტ ის ი
პლინიუს	პლი ნიუს
ჯოზეფი	ჯო ზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ების ა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰი ურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბენ დ ი
ვარიანტი	ვარი ანტ ი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქ ე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნათ ელ აშვილის
მიახლოებით	მი ახლო ებით
მუხისფარს	მუხის ფარ ს
კომისარიატის	კომის არიატ ის
პიტერმა	პი ტერ მა
მონიტორები	მონიტორ ები
ინვესტორი	ინვესტ ორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშჩევ იჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლი ზმ ები
ქვედაზე	ქვედა ზ ე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტი ვირ ება
ჩათვლა	ჩა თვლ ა
ფისი	ფის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვ ილ ისაგან
ჩხიკვაძე	ჩხი კვ აძე
ფრანკფურტში	ფრანკფურ ტ ში
მფარველობას	მფარველ ობ ას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვესკ ნელ ის
რუხია	რუ ხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცის კან ელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელ ათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულგარ ეთ ი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	ს პარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობა
პანკრეასის	პანკრე ას ის
მკერდის	მკერდ ის
პლანქტონური	პლანქ ტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დაველ აპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დედინა ცვალ ი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერა ტურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
