იტალიასთან	იტალ ი ასთან
ბოლოთი	ბოლ ოთი
სამთავროსა	სამთავრ ო სა
მითანის	მი თან ის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ე ები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	საიდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	და სწამ ა
პაკეტში	პა კეტ ში
რობერ	რობ ერ
შემოდიოდა	შემო დიოდ ა
მთავარსარდლობის	მთავარსარ დ ლობის
ასტრონომია	ასტრო ნომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეანე ზე
პიტი	პი ტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დის კრეტულ ი
კლონი	კლ ონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტი ფიცირ ება
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შ ან იძე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხრან ი ს
ქართველოლოგიის	ქართ ველ ოლოგიის
წნეხის	წნე ხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	ს ც ა
კედელში	კე დელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მო სინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანა დროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პრო ტესტანტ იზმის
ჟანგბადის	ჟანგბად ის
სახეთა	სა ხე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	დაპირის პირებ ის
სისხლსა	სისხლ სა
აცტეკთა	აც ტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	ა ინშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადაუ რჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერ იქსონი ს
ჩერნიგოვის	ჩერნი გ ოვის
ცერემონიაზე	ცერემონი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარებ დნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამო ვსებ ულია
ფერდობების	ფერ დობ ების
გასაკვირი	გასა კვირ ი
დისკში	დისკ ში
პარალელურად	პარა ლელ ურად
კარლაილს	კარლა ილ ს
ჰენი	ჰე ნ ი
შეფერილობით	შე ფერილობ ით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რაზ დან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრ ობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყველ ა მ
წინააღმდეგობრივი	წინააღ მდეგ ობრივი
ქარგა	ქარ გ ა
ხისტი	ხ ისტი
მოქალაქეები	მოქალაქ ე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობ ილი
უბნის	უ ბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქსო ნომ იურ
დაიღუპა	და იღუპ ა
არიანე	არიან ე
მორისი	მო რის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომ ნელ ებელი
კულმინაციას	კულ მინ აციას
მოკლეს	მოკლე ს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგ ების
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გა ერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯა ნელ იძის
ბუნებას	ბუნ ებ ას
ხეები	ხე ებ ი
ნეოლითის	ნე ოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	საყვარ ელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შე ყვარებულ ის
წყალმარჩხ	წყალმარ ჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმო ძღვრ ება
აცილებული	აცი ლებ ული
აისახება	ა ისახ ება
ცდება	ცდ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამფუძნებ ელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შე ზღუდვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭანტ ურ ია
კეჩუას	კე ჩუ ას
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამა ზრზენ ი
ფეხებში	ფეხ ებში
ქვებზე	ქვ ებ ზე
ჰოპკინზმა	ჰოპკ ინზ მა
ჩემპიონატს	ჩემპიონატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფიგა რო ს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუ ქსემბურგ ის
პერსპექტიულია	პერსპექტ ი ულია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რიტორ იკ ა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავ დაცვ ისა
ატლანტისი	ატლანტის ი
პლინიუს	პლინ იუს
ჯოზეფი	ჯ ოზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდ ენტ
ჰიურემ	ჰ იურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზ ახ ეთში
ბენდი	ბე ნდ ი
ვარიანტი	ვარი ანტ ი
კლდეკარის	კლ დეკარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიანო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მოქალაქ ე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნა თელ აშვილის
მიახლოებით	მი ახლოებ ით
მუხისფარს	მუხ ისფარ ს
კომისარიატის	კომის არიატ ის
პიტერმა	პი ტერ მა
მონიტორები	მონ იტორ ები
ინვესტორი	ინვესტ ორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშჩე ვიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	საიმპერ ატორ ო
კატაკლიზმები	კატაკლ იზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტივ ირებ ა
ჩათვლა	ჩა თვლ ა
ფისი	ფ ის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსო ვილ ისაგან
ჩხიკვაძე	ჩხიკვ აძე
ფრანკფურტში	ფრანკ ფურ ტში
მფარველობას	მ ფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუ ხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრანცისკ ან ელთა
რეიტინგული	რე იტინგ ული
ბელა	ბელ ა
გელათში	გე ლათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლიდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულ გარეთ ი
მოჰკიდა	მოჰ კიდ ა
სპარტელთა	სპარ ტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობ ა
პანკრეასის	პან კრეას ის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დედინა ცვალ ი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერა ტურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
რონდელი	რო ნდ ელი
