იტალიასთან	ი ტალი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სა მთავრო სა
მითანის	მი თან ის
ალმანახი	ალ მანახ ი
მოწმეები	მოწმე ები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შე ნ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდ ა
მთავარსარდლობის	მთავარ სარდ ლობის
ასტრონომია	ასტრო ნომი ა
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰოლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პ იტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნი ჟ ნი
სარკეში	სა რკ ეში
დისკრეტული	დის კრეტულ ი
კლონი	კლ ონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტი ფიცირებ ა
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შან იძ ე
ეტლს	ეტლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქარ თველ ოლოგიის
წნეხის	წნ ეხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ისა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კე დელ ში
დარგი	და რგ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მო სინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანა დროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პრო ტესტანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სახ ე თა
ჩახაზული	ჩა ხაზულ ი
დაპირისპირების	დაპირისპირ ებ ის
სისხლსა	სისხლ სა
აცტეკთა	ა ცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნომინ ანტ ი
თანდასწრებით	თანდა სწრებ ით
აინშტაინის	ა ინშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეო რემ ის
გადაურჩნენ	გადაუ რჩ ნენ
კელტთა	კე ლტ თა
ითხოვა	ი თხოვ ა
სპორტისა	ს პორტ ისა
ერიქსონის	ერი ქსონ ის
ჩერნიგოვის	ჩერ ნიგ ოვის
ცერემონიაზე	ცერემონ ი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარ ებდნენ
გულაგის	გუ ლაგ ის
ამოვსებულია	ამო ვსებული ა
ფერდობების	ფერ დობ ების
გასაკვირი	გასა კვირ ი
დისკში	დის კ ში
პარალელურად	პარ ალელ ურად
კარლაილს	კარლა ილ ს
ჰენი	ჰე ნ ი
შეფერილობით	შე ფერილობ ით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რა ზდან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰაერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივ ი
ქარგა	ქარ გ ა
ხისტი	ხ ისტი
მოქალაქეები	მო ქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობ ილი
უბნის	უბნ ის
ლეგიონებმა	ლეგი ონ ებმა
საორგანიზაციო	სა ორგანიზაცი ო
ტაქსონომიურ	ტაქს ონომიურ
დაიღუპა	და იღუპ ა
არიანე	არიან ე
მორისი	მ ორის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომ ნელებელ ი
კულმინაციას	კულ მინაცია ს
მოკლეს	მოკლ ეს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგებ ის
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდებ ად
ყურეს	ყურ ეს
გაერთიანებაში	გაერთიანებ ა ში
დაცვითი	და ცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯან ელიძ ის
ბუნებას	ბუნ ებ ას
ხეები	ხე ები
ნეოლითის	ნ ეოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	სა ყვარელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნაგა ზ ი
შეყვარებულის	შე ყვარებულ ის
წყალმარჩხ	წყალმა რჩხ
გაქრება	გა ქრ ება
ქვემეხები	ქვემე ხ ები
გარეთა	გარეთ ა
ხუროთმოძღვრება	ხუროთმოძღ ვრ ება
აცილებული	ა ცილებ ული
აისახება	ა ისახ ება
ცდება	ც დება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობე ლობა
მომხიბლავი	მომ ხიბლ ავი
დამფუძნებელია	დამფუძნებელ ია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შე ზღუდვ ებს
შოუზე	შოუ ზე
ჭანტურია	ჭა ნტური ა
კეჩუას	კე ჩუ ას
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამაზრზე ნი
ფეხებში	ფეხ ებში
ქვებზე	ქვე ბ ზე
ჰოპკინზმა	ჰ ოპკინზ მა
ჩემპიონატს	ჩემპიო ნატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფი გარ ოს
მეოთხეა	მეოთხ ე ა
გარანტიას	გარ ანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუქსემ ბურგ ის
პერსპექტიულია	პერსპექ ტიულ ია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რი ტორიკ ა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავდა ცვ ისა
ატლანტისი	ატლანტი ს ი
პლინიუს	პლი ნიუს
ჯოზეფი	ჯ ოზეფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰი ურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბე ნდ ი
ვარიანტი	ვარ იანტ ი
კლდეკარის	კლდე კარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპია ნო სა
მთავარანგელოზი	მთავარ ანგელოზ ი
მოქალაქედ	მო ქალაქე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნა თელ აშვილის
მიახლოებით	მი ახლოებ ით
მუხისფარს	მუხ ისფარ ს
კომისარიატის	კომისარ ია ტის
პიტერმა	პიტერ მა
მონიტორები	მონ იტორ ები
ინვესტორი	ინვესტ ორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრადაშ ჩევიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელ ფას ი
საიმპერატორო	საიმპერ ატორ ო
კატაკლიზმები	კატა კლიზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კომ იქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულ ტივირებ ა
ჩათვლა	ჩა თვლ ა
ფისი	ფ ის ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსოვილ ისაგან
ჩხიკვაძე	ჩხ იკვ აძე
ფრანკფურტში	ფრან კფურ ტში
მფარველობას	მ ფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუ ხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნელ ი
ფრანცისკანელთა	ფრანცი სკ ანელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გელათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლ იდერ მა
სიტყვიერ	სიტყვიერ
შემოიფარგლება	შემოი ფარგლ ება
ბულგარეთი	ბულ გარეთ ი
მოჰკიდა	მო ჰკიდ ა
სპარტელთა	სპარტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობ ა
პანკრეასის	პან კრეა სის
მკერდის	მკერდ ის
პლანქტონური	პლანქტ ონურ ი
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბ ავ ში
დედინაცვალი	დედინ აცვ ალი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერა ტურ ით
მოუღეს	მოუ ღ ეს
შემოსვლის	შემო სვლ ის
