იტალიასთან	იტა ლი ასთან
ბოლოთი	ბოლო თი
სამთავროსა	სა მთავრო სა
მითანის	მი თ ანის
ალმანახი	ალმა ნახ ი
მოწმეები	მოწმ ეები
ევდოკია	ევ დოკი ა
ინტერესი	ინტერეს ი
საიდუმლოება	სა იდუმლო ება
შენს	შენ ს
გადაჭრას	გადა ჭრ ას
დასწამა	დას წამ ა
პაკეტში	პა კეტ ში
რობერ	რო ბერ
შემოდიოდა	შემო დიოდ ა
მთავარსარდლობის	მთავარსარდ ლ ობის
ასტრონომია	ასტრო ნომ ია
ხარჯი	ხარჯ ი
სიგარეტი	სი გარეტ ი
მოულოდნელობა	მოუ ლოდნელ ობა
ალკოჰოლს	ალკოჰო ლ ს
დასარბევად	დასა რბევ ად
ოკეანეზე	ოკეან ე ზე
პიტი	პი ტ ი
სინგაპურის	სინგა პურ ის
თაფლობის	თაფლ ობის
ნიჟნი	ნიჟ ნ ი
სარკეში	სა რკე ში
დისკრეტული	დის კრეტ ული
კლონი	კლ ონ ი
მუსლიმური	მუს ლიმ ური
იდენტიფიცირება	იდენტ იფიც ირება
შემოსევების	შემო სევ ების
ხელაშვილი	ხელ აშვილი
შანიძე	შანიძ ე
ეტლს	ეტ ლ ს
გამოყოფას	გამო ყოფ ას
პოემების	პო ემ ების
მუხრანის	მუხრან ის
ქართველოლოგიის	ქართ ველ ოლოგიის
წნეხის	წნე ხ ის
სურვილისამებრ	სურ ვილ ისამებრ
კანისა	კან ი სა
ეკითხებოდა	ეკითხ ებოდა
ვერსიაც	ვერსი აც
სცა	სც ა
კედელში	კე დელ ში
დარგი	დარ გ ი
წარმოგვიდგება	წარმოგვი დგ ება
მოსინჯა	მო სინჯ ა
მოხუცის	მო ხუც ის
სხივები	სხივ ები
გარეშეა	გარეშე ა
თანადროულია	თანა დროულ ია
წლამდე	წლ ამდე
პროტესტანტიზმის	პრო ტესტანტ იზმის
ჟანგბადის	ჟანგ ბად ის
სახეთა	სა ხე თა
ჩახაზული	ჩა ხაზ ული
დაპირისპირების	და პირისპირებ ის
სისხლსა	სისხლ სა
აცტეკთა	ა ცტეკ თა
ქარჩოხის	ქარ ჩოხ ის
ყოველგვარი	ყოველ გვარ ი
მამამ	მა მ ამ
ეკავათ	ე კავ ათ
სკაუტების	ს კაუტ ების
ყველაფრით	ყველა ფრ ით
ნომინანტი	ნო მინანტ ი
თანდასწრებით	თანდა სწრ ებით
აინშტაინის	ა ინშტაინ ის
საღამოები	სა ღამო ები
თეორემის	თეორე მ ის
გადაურჩნენ	გადაუ რჩ ნენ
კელტთა	კელ ტ თა
ითხოვა	ი თხოვ ა
სპორტისა	სპორტ ისა
ერიქსონის	ერიქს ონი ს
ჩერნიგოვის	ჩერნ იგ ოვის
ცერემონიაზე	ცერემონ ი აზე
მხარდაჭერით	მხარდა ჭერ ით
გაყვება	გა ყვ ება
აღწერითი	აღ წერ ითი
ავითარებდნენ	ა ვითარებ დნენ
გულაგის	გულ აგ ის
ამოვსებულია	ამო ვსებ ულია
ფერდობების	ფერ დობ ების
გასაკვირი	გასა კვირ ი
დისკში	დის კ ში
პარალელურად	პარა ლელ ურად
კარლაილს	კარ ლაილ ს
ჰენი	ჰე ნ ი
შეფერილობით	შე ფერილობ ით
დაბოლოებული	და ბოლო ებული
რონალდუმ	რონალ დ უმ
რაზდანის	რა ზდან ის
არქტიკულ	არქტიკ ულ
ები	ებ ი
ჰაერთან	ჰა ერ თან
ვაჭრობდა	ვაჭრობ და
ჰპოვებს	ჰ პოვ ებს
ყველამ	ყველ ამ
წინააღმდეგობრივი	წინააღმდეგ ობრივ ი
ქარგა	ქარ გ ა
ხისტი	ხ ისტი
მოქალაქეები	მო ქალაქე ები
დაემთხვა	და ემთხვ ა
წარმოშობილი	წარმო შობ ილი
უბნის	უ ბნ ის
ლეგიონებმა	ლეგ იონ ებმა
საორგანიზაციო	საორგანიზ აცი ო
ტაქსონომიურ	ტაქს ონომიურ
დაიღუპა	დაი ღუპ ა
არიანე	არიან ე
მორისი	მორ ის ი
სტრუქტურები	სტრუქტურ ები
მომნელებელი	მომ ნელებ ელი
კულმინაციას	კულმინ აცია ს
მოკლეს	მო კლე ს
ჩამოიყვანა	ჩამო იყვან ა
რიგების	რიგებ ის
მახსოვს	მა ხსოვ ს
სახელწოდებად	სახელ წოდებ ად
ყურეს	ყურე ს
გაერთიანებაში	გა ერთიანებ აში
დაცვითი	დაცვ ითი
კანტატები	კან ტატ ები
ჯანელიძის	ჯან ელიძ ის
ბუნებას	ბუნებ ას
ხეები	ხე ები
ნეოლითის	ნ ეოლით ის
ხელოსნური	ხელ ოსნ ური
საყვარელიძე	სა ყვარელ იძე
ჩაუთვალა	ჩაუ თვალ ა
კლდოვანი	კლდ ოვან ი
ნაგაზი	ნა გაზ ი
შეყვარებულის	შე ყვარებულ ის
წყალმარჩხ	წყალ მარჩხ
გაქრება	გ აქრ ება
ქვემეხები	ქვე მეხ ები
გარეთა	გარე თა
ხუროთმოძღვრება	ხუროთმო ძღვრ ება
აცილებული	აცი ლებ ული
აისახება	ა ისახ ება
ცდება	ც დ ება
ეფექტურობა	ეფექტურ ობა
გაღარიბებული	გა ღარიბ ებული
მიწათმფლობელობა	მიწათ მფლობელ ობა
მომხიბლავი	მომხიბ ლავ ი
დამფუძნებელია	დამ ფუძნებ ელია
ესპანურ	ესპან ურ
პრემიერ	პრემიერ
შეზღუდვებს	შე ზღუდვ ებს
შოუზე	შო უ ზე
ჭანტურია	ჭანტური ა
კეჩუას	კე ჩუ ას
სოლისტი	სო ლისტ ი
ტექნიკაზე	ტექნიკ აზე
ამაზრზენი	ამ აზრზენ ი
ფეხებში	ფე ხ ებში
ქვებზე	ქვ ებზე
ჰოპკინზმა	ჰოპკინზ მა
ჩემპიონატს	ჩემპიონ ატ ს
სიხშირეს	სი ხშირ ეს
ფიგაროს	ფიგარ ოს
მეოთხეა	მეოთხ ე ა
გარანტიას	გა რანტი ას
ნახევარუდაბნოს	ნახევარ უდაბნო ს
ლუქსემბურგის	ლუ ქსემბურგ ის
პერსპექტიულია	პერსპექტ ი ულია
პოზიტიური	პოზიტ იურ ი
რიტორიკა	რი ტორ იკა
სამწერლო	სა მწერლ ო
აქტიურები	აქტიურ ები
წოდებაც	წოდებ აც
თავდაცვისა	თავ დაცვ ისა
ატლანტისი	ატლან ტის ი
პლინიუს	პლინ იუს
ჯოზეფი	ჯოზე ფ ი
ასვლას	ა სვლ ას
დღე	დღე
თამაშებისა	თამაშ ებისა
პრეზიდენტ	პრეზიდენტ
ჰიურემ	ჰი ურ ემ
წარმატებისა	წარ მატებ ისა
შემოქმედმა	შე მოქმედ მა
დაპყრობები	და პყრობ ები
ყაზახეთში	ყაზა ხეთ ში
ბენდი	ბენ დ ი
ვარიანტი	ვარია ნტ ი
კლდეკარის	კლდ ეკარ ის
ეკოსისტემის	ეკო სისტემ ის
ფორტეპიანოსა	ფორტეპიან ო სა
მთავარანგელოზი	მთავარანგელოზ ი
მოქალაქედ	მო ქალაქე დ
გაშლის	გა შლ ის
ნათელაშვილის	ნათელ აშვილის
მიახლოებით	მი ახლოებ ით
მუხისფარს	მუხ ისფარ ს
კომისარიატის	კომ ისარიატ ის
პიტერმა	პი ტერ მა
მონიტორები	მონი ტორ ები
ინვესტორი	ინვე სტორ ი
შეშლა	შე შლ ა
გრადაშჩევიჩის	გრად აშჩევიჩ ის
ეცნობა	ე ცნობ ა
ხელფასი	ხელფას ი
საიმპერატორო	სა იმპერატორ ო
კატაკლიზმები	კატაკლ იზმ ები
ქვედაზე	ქვე დ აზე
მხრივაც	მხრივ აც
დუელში	დუ ელ ში
გარემონტდა	გა რემონტ და
დაარღვიეს	და არღვი ეს
აღწერეს	აღ წერ ეს
კომიქსებში	კო მიქს ებში
ბაიკონურის	ბა იკონ ურის
კულტივირება	კულტივი რებ ა
ჩათვლა	ჩა თვლ ა
ფისი	ფი ს ი
გადაღებულმა	გადა ღებ ულმა
ქსოვილისაგან	ქსო ვილ ისაგან
ჩხიკვაძე	ჩხ იკვ აძე
ფრანკფურტში	ფრან კფურტ ში
მფარველობას	მ ფარველ ობას
ჩამოკვეთილი	ჩამო კვეთილ ი
გადარჩევა	გადა რჩევ ა
ქვესკნელის	ქვე სკნელ ის
რუხია	რუ ხ ია
რჩევებს	რჩევ ებს
დაღესტნელი	დაღესტ ნ ელი
ფრანცისკანელთა	ფრან ცისკ ანელთა
რეიტინგული	რეიტინგ ული
ბელა	ბელ ა
გელათში	გე ლათ ში
ოცდაათწლიანი	ოცდა ათ წლიანი
ლიდერმა	ლი დერ მა
სიტყვიერ	სიტყვ იერ
შემოიფარგლება	შემოიფარ გლ ება
ბულგარეთი	ბულგარ ეთ ი
მოჰკიდა	მო ჰკიდ ა
სპარტელთა	სპარ ტ ელთა
გააფრთხილა	გაა ფრთხილ ა
ობობა	ობ ობ ა
პანკრეასის	პანკრე ასის
მკერდის	მკერდ ის
პლანქტონური	პლან ქტონ ური
საისტორიო	სა ისტორი ო
დაველაპარაკები	დავე ლაპარაკ ები
მომხდარმა	მო მხდარ მა
მონასტრების	მონასტრ ების
ამბავში	ამბავ ში
დედინაცვალი	დედინა ცვალ ი
ამოშენებულია	ამო შენებულ ია
სიღრმული	სი ღრმ ული
ტემპერატურით	ტემპერატურ ით
მოუღეს	მო უღ ეს
შემოსვლის	შემო სვლ ის
რონდელი	რო ნდ ელი
კავკასიელ	კავკა სი ელ
